[294]3,  [300]310, [305]3,  [311]1,  [321]1,  [327]1

[294]3,  [300]31,  [305]3,  [311]10, [321]1,  [327]0

[294]31, [300]3,   [305]3,  [311]10, [321]0,  [327]10

[294]3,  [300]31,  [305]3,  [311]0,  [321]1,  [327]1

[294]3,  [300]310, [305]1,  [311]3,  [321]1,  [327]10

[294]31, [300]3,   [305]10, [311]3,  [321]0,  [327]10

[294]3,  [300]31,  [305]10, [311]10, [321]1,  [327]3

[294]3,  [300]3,   [305]10, [311]1,  [321]1,  [327]1

[294]3,  [300]3,   [305]1,  [311]1,  [321]10, [327]0

[294]31, [300]3,   [305]10, [311]1,  [321]0,  [327]31

[294]3,  [300]3,   [305]1,  [311]0,  [321]10, [327]1

[294]31, [300]3,   [305]10, [311]0,  [321]0,  [327]3

[294]3,  [300]310, [305]0,  [311]3,  [321]1,  [327]1

[294]3,  [300]31,  [305]0,  [311]3,  [321]1,  [327]0

[294]3,  [300]10,  [305]3,  [311]10, [321]1,  [327]3

[294]31, [300]1,   [305]3,  [311]10, [321]0,  [327]310

[294]31, [300]10,  [305]1,  [311]3,  [321]0,  [327]10

[294]31, [300]1,   [305]10, [311]10, [321]0,  [327]3

[294]3,  [300]10,  [305]0,  [311]3,  [321]1,  [327]3

[294]31, [300]1,   [305]0,  [311]3,  [321]0,  [327]310

[294]3,  [300]0,   [305]3,  [311]3,  [321]10, [327]10

[294]31, [300]0,   [305]3,  [311]1,  [321]0,  [327]31

[294]31, [300]0,   [305]3,  [311]0,  [321]0,  [327]3

[294]3,  [300]0,   [305]1,  [311]3,  [321]10, [327]3

[294]31, [300]0,   [305]0,  [311]3,  [321]0,  [327]31

[294]1,  [300]3,   [305]1,  [311]1,  [321]0,  [327]0

[294]1,  [300]3,   [305]1,  [311]0,  [321]0,  [327]1

[294]1,  [300]0,   [305]3,  [311]3,  [321]0,  [327]10

[294]1,  [300]0,   [305]1,  [311]3,  [321]0,  [327]3

共有29张，246元。
