[293]31,  [294]3,  [314]3,  [318]1,  [321]10, [363]10

[293]3,   [294]3,  [314]3,  [318]0,  [321]10, [363]1

[293]310, [294]3,  [314]3,  [318]0,  [321]10, [363]0

[293]3,   [294]3,  [314]10, [318]3,  [321]1,  [363]1

[293]310, [294]3,  [314]10, [318]3,  [321]10, [363]0

[293]3,   [294]31, [314]1,  [318]3,  [321]0,  [363]1

[293]31,  [294]3,  [314]1,  [318]1,  [321]10, [363]3

[293]3,   [294]3,  [314]10, [318]1,  [321]1,  [363]0

[293]3,   [294]31, [314]10, [318]1,  [321]0,  [363]0

[293]3,   [294]3,  [314]10, [318]0,  [321]1,  [363]3

[293]3,   [294]31, [314]1,  [318]0,  [321]0,  [363]3

[293]310, [294]31, [314]0,  [318]3,  [321]0,  [363]1

[293]310, [294]3,  [314]0,  [318]1,  [321]10, [363]3

[293]3,   [294]3,  [314]0,  [318]1,  [321]10, [363]1

[293]3,   [294]3,  [314]0,  [318]0,  [321]10, [363]0

[293]310, [294]31, [314]0,  [318]0,  [321]0,  [363]3

[293]31,  [294]1,  [314]3,  [318]1,  [321]0,  [363]10

[293]3,   [294]1,  [314]3,  [318]0,  [321]0,  [363]10

[293]310, [294]1,  [314]10, [318]3,  [321]0,  [363]0

[293]31,  [294]1,  [314]10, [318]1,  [321]0,  [363]3

[293]3,   [294]1,  [314]0,  [318]1,  [321]0,  [363]1

[293]3,   [294]1,  [314]0,  [318]0,  [321]0,  [363]0

[293]10,  [294]3,  [314]3,  [318]3,  [321]10, [363]1

[293]10,  [294]3,  [314]3,  [318]0,  [321]10, [363]3

[293]10,  [294]3,  [314]1,  [318]3,  [321]10, [363]3

[293]10,  [294]3,  [314]0,  [318]3,  [321]1,  [363]1

[293]10,  [294]3,  [314]0,  [318]0,  [321]1,  [363]3

[293]10,  [294]1,  [314]3,  [318]3,  [321]0,  [363]1

[293]10,  [294]1,  [314]3,  [318]0,  [321]0,  [363]30

[293]10,  [294]1,  [314]1,  [318]3,  [321]0,  [363]3

[293]0,   [294]3,  [314]3,  [318]31, [321]1,  [363]0

[293]0,   [294]31, [314]3,  [318]31, [321]0,  [363]0

[293]0,   [294]3,  [314]3,  [318]1,  [321]10, [363]3

[293]0,   [294]3,  [314]0,  [318]3,  [321]10, [363]3

[293]0,   [294]1,  [314]30, [318]1,  [321]0,  [363]3

[293]0,   [294]1,  [314]0,  [318]3,  [321]0,  [363]3

共有36张，246元。
